time	running	running_idle	waiting_for_reconf
1504	26	17	0
1505	26	17	0
1506	25	18	0
1507	25	18	0
1508	25	18	0
1509	25	18	0
1510	24	19	0
1511	24	19	0
1512	24	19	0
1513	24	19	0
1514	23	20	0
1515	23	20	0
1516	23	20	0
1517	23	20	0
1518	23	20	0
1519	23	20	0
1520	23	20	0
1521	23	20	0
1522	23	20	0
1523	23	20	0
1524	22	21	0
1525	23	20	0
1526	25	18	0
1527	25	18	0
1528	24	19	0
1529	25	18	0
1530	25	18	0
1531	25	18	0
1532	25	18	0
1533	25	18	0
1534	25	18	0
1535	25	18	0
1536	25	18	0
1537	25	18	0
1538	25	18	0
1539	26	17	0
1540	25	18	0
1541	24	19	0
1542	24	19	0
1543	24	19	0
1544	23	20	0
1545	23	20	0
1546	23	20	0
1547	23	20	0
1548	23	20	0
1549	23	20	0
1550	22	21	0
1551	24	19	0
1552	24	19	0
1553	23	20	0
1554	23	20	0
1555	24	19	0
1556	24	19	0
1557	22	21	0
1558	22	21	0
1559	22	21	0
1560	22	21	0
1561	23	20	0
1562	21	22	0
1563	21	22	0
1564	25	18	0
1565	25	18	0
1566	24	19	0
1567	25	18	0
1568	25	18	0
1569	25	18	0
1570	25	18	0
1571	25	18	0
1572	24	19	0
1573	24	19	0
1574	25	18	0
1575	24	19	0
1576	23	20	0
1577	25	18	0
1578	26	17	0
1579	25	18	0
1580	25	18	0
1581	25	18	0
1582	25	18	0
1583	25	18	0
1584	23	20	0
1585	23	20	0
1586	23	20	0
1587	23	20	0
1588	24	19	0
1589	23	20	0
1590	27	16	0
1591	27	16	0
1592	27	16	0
1593	28	15	0
1594	27	16	0
1595	27	16	0
1596	27	16	0
1597	26	17	0
1598	26	17	0
1599	26	17	0
1600	27	16	0
1601	23	20	0
1602	23	20	0
1603	26	17	0
1604	27	16	0
1605	27	16	0
1606	27	16	0
1607	28	15	0
1608	27	16	0
1609	27	16	0
1610	27	16	0
1611	26	17	0
1612	26	17	0
1613	27	16	0
1614	25	18	0
1615	25	18	0
1616	28	15	0
1617	28	15	0
1618	29	14	0
1619	29	14	0
1620	29	14	0
1621	29	14	0
1622	29	14	0
1623	28	15	0
1624	28	15	0
1625	29	14	0
1626	29	14	0
1627	29	14	0
1628	29	14	0
1629	30	13	0
1630	29	14	0
1631	28	15	0
1632	28	15	0
1633	28	15	0
1634	29	14	0
1635	28	15	0
1636	27	16	0
1637	27	16	0
1638	27	16	0
1639	26	17	0
1640	26	17	0
1641	26	17	0
1642	28	15	0
1643	29	14	0
1644	29	14	0
1645	30	13	0
1646	30	13	0
1647	29	14	0
1648	29	14	0
1649	29	14	0
1650	29	14	0
1651	29	14	0
1652	28	15	0
1653	28	15	0
1654	28	15	0
1655	30	13	0
1656	31	12	0
1657	31	12	0
